urls_full,urls,brand
https://www.fragrantica.com/designers/Shanghai-Tang.html,Shanghai-Tang.html,Shanghai-Tang
https://www.fragrantica.com/designers/Shiseido.html,Shiseido.html,Shiseido
https://www.fragrantica.com/designers/Sisley.html,Sisley.html,Sisley
https://www.fragrantica.com/designers/Swarovski.html,Swarovski.html,Swarovski
https://www.fragrantica.com/designers/Tiffany.html,Tiffany.html,Tiffany
https://www.fragrantica.com/designers/Tocca.html,Tocca.html,Tocca
https://www.fragrantica.com/designers/Tom-Ford.html,Tom-Ford.html,Tom-Ford
https://www.fragrantica.com/designers/Valentino.html,Valentino.html,Valentino
https://www.fragrantica.com/designers/Van-Cleef-Arpels.html,Van-Cleef-Arpels.html,Van-Cleef-Arpels
https://www.fragrantica.com/designers/Versace.html,Versace.html,Versace
https://www.fragrantica.com/designers/Viktor-Rolf.html,Viktor-Rolf.html,Viktor-Rolf
https://www.fragrantica.com/designers/Vilhelm-Parfumerie.html,Vilhelm-Parfumerie.html,Vilhelm-Parfumerie
https://www.fragrantica.com/designers/Yves-Saint-Laurent.html,Yves-Saint-Laurent.html,Yves-Saint-Laurent
